qi_lin,414,432,exit.png,,71,71
xuan_wu,617,345,cai-shen-qi-lin.png,,414,432
qing_long,667,582,cai-shen-qing-long.png,,667,582
cai_shen_ye_1,407,766,cai-shen-top-1.png,,407,766
cai_shen_ye_2,189,1107,cai-shen-top-3-1.png,,189,1107
cai_shen_ye_3,415,1095,cai-shen-top-3-2.png,,415,1095
cai_shen_ye_4,627,1058,cai-shen-top-3-3.png,,627,1058
cai_shen_ye_top2,414,934,cai-shen-top2.png,,414,934
y_move,,,cai-shen-xuan-wu.png,,617,345
cai_shen_low_1,263,327,cai-shen-low-1.png,,263,327
cai_shen_low_2,554,329,cai-shen-low-2.png,,554,329
cai_shen_low_31,89,490,cai-shen-low-3-1.png,,89,490
cai_shen_low_32,247,509,cai-shen-low-3-2.png,,247,509
cai_shen_low_33,565,511,cai-shen-low-3-3.png,,565,511
cai_shen_low_34,716,503,cai-shen-low-3-4.png,,716,503
cai_shen_low_35,402,585,cai-shen-low-4.png,,402,585
cai_shen_low_41,151,803,cai-shen-low-5-1.png,,151,803
cai_shen_low_42,399,831,cai-shen-low-5-2.png,,399,831
cai_shen_low_43,639,798,cai-shen-low-5-3.png,,639,798
cai_shen_low_51,161,990,cai-shen-low-6-1.png,,161,990
cai_shen_low_52,394,1046,cai-shen-low-6-2.png,,394,1046
cai_shen_low_53,629,1000,cai-shen-low-6-3.png,,629,1000
,,,cheng-jiao-cai-shen.png,,364,632
,,,cheng-jiao-pai-hang-bang.png,,199,953
,,,cheng-jiao_shang-zhan-entry.png,,716,825
,,,cheng-jiao_shang_hui_entry.png,,708,546
,,,cheng-jiao_zhao-shang.png,,433,1051
,,,cheng-jiao_zhuang-yuan.png,,375,341
,,,pai-hang-bang-dian-zan-entry.png,,565,381
,,,pai-hang-bang-kua-fu-dian-zan-entry.png,,393,150
,,,pai-hang-bang-yi-jian-dian-zan.png,,686,1344
,,,cheng-jiao-pu-tong-jian-she_entry.png,,225,736
,,,cheng-jiao_jian-she_bao-xiang-1.png,,264,211
,,,cheng-jiao_jian-she_bao-xiang-2.png,,339,211
,,,cheng-jiao_jian-she_bao-xiang-3.png,,437,211
,,,cheng-jiao_jian-she_bao-xiang-4.png,,539,202
,,,cheng-jiao_jian-she_bao-xiang-5.png,,710,209
,,,cheng-jiao_jian-she_entry.png,,682,1158
,,,full_screen.png,,786,1439
,,,header.png,,786,45
,,,home-cheng-jiao.png,,586,1372
,,,home-entry-kua-fu.png,,201,262
,,,home-store.png,,200,1383
,,,home-xiao-yu-confirm.png,,395,1152
,,,home-xiao-yu-execute.png,,437,1037
,,,home-xiao-yu.png,,758,838
,,,text-entry.png,,434,1292
,,,text-input.png,,403,1268
,,,text-send.png,,679,1269
